participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
ff,22,pretest,1,b,FALSE,1005.58,Miss,-2,Miss!,timeout,,b,0,FALSE,
ff,22,pretest,2,n,FALSE,1007.2,Miss,-2,Miss!,timeout,,n,0,FALSE,
ff,22,pretest,3,n,FALSE,1005.35,Miss,-2,Miss!,timeout,,n,0,FALSE,
ff,22,pretest,4,v,FALSE,816.35,Late,1,Late,,v,v,1,FALSE,
ff,22,pretest,5,n,FALSE,526.76,Late,1,Late,,n,n,1,FALSE,
ff,22,pretest,6,n,FALSE,409.04,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,7,m,FALSE,511.26,Late,1,Late,,m,m,1,FALSE,
ff,22,pretest,8,v,FALSE,443.52,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,9,m,FALSE,408.71,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,10,b,FALSE,424.98,Good,2,Good,,b,b,1,FALSE,
ff,22,pretest,11,v,FALSE,406.12,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,12,n,FALSE,442.28,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,13,v,FALSE,392.9,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,14,n,FALSE,442.4,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,15,v,FALSE,1003.63,Miss,-2,Miss!,timeout,,v,0,FALSE,
ff,22,pretest,16,b,FALSE,731.99,Late,1,Late,,b,b,1,FALSE,
ff,22,pretest,17,b,FALSE,698.28,Late,1,Late,,b,b,1,FALSE,
ff,22,pretest,18,n,FALSE,630.34,Late,1,Late,,n,n,1,FALSE,
ff,22,pretest,19,n,FALSE,628.05,Late,1,Late,,n,n,1,FALSE,
ff,22,pretest,20,v,FALSE,561.15,Late,1,Late,,v,v,1,FALSE,
ff,22,pretest,21,m,FALSE,563.26,Late,1,Late,,m,m,1,FALSE,
ff,22,pretest,22,n,FALSE,204.0,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,early_before_23,n,FALSE,-4.19,Early,-2,Early,early_press,n,,1,FALSE,
ff,22,pretest,23,b,FALSE,17.96,Great,3,Great,,b,b,1,FALSE,
ff,22,pretest,24,v,FALSE,-74.58,Great,3,Great,anticipatory_correct,v,v,1,FALSE,
ff,22,pretest,early_before_25,b,FALSE,-23.81,Early,-2,Early,early_press,b,,1,FALSE,
ff,22,pretest,25,m,FALSE,373.89,Good,2,Good,,m,m,1,TRUE,102.28
ff,22,pretest,26,m,FALSE,798.86,Late,1,Late,,m,m,1,TRUE,17.38
ff,22,pretest,27,n,FALSE,613.98,Late,1,Late,,n,n,1,TRUE,222.29
ff,22,pretest,28,m,FALSE,527.05,Late,1,Late,,m,m,1,TRUE,323.87
ff,22,pretest,29,n,FALSE,425.79,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,30,n,FALSE,376.28,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,31,m,FALSE,492.99,Good,2,Good,,m,m,1,TRUE,357.17
ff,22,pretest,32,v,FALSE,441.54,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,33,b,FALSE,458.67,Good,2,Good,,b,b,1,FALSE,
ff,22,pretest,34,n,FALSE,425.19,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,35,n,FALSE,338.32,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,36,m,FALSE,340.89,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,37,v,FALSE,391.11,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,38,m,FALSE,408.08,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,39,v,FALSE,407.26,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,40,v,FALSE,426.66,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,41,b,FALSE,493.46,Good,2,Good,,b,b,1,TRUE,322.95
ff,22,pretest,42,m,FALSE,426.79,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,43,v,FALSE,425.49,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,44,n,FALSE,459.33,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,45,n,FALSE,323.55,Good,2,Good,,n,n,1,FALSE,
ff,22,pretest,46,m,FALSE,340.27,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,47,v,FALSE,357.99,Good,2,Good,,v,v,1,FALSE,
ff,22,pretest,48,m,FALSE,359.04,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,49,m,FALSE,272.6,Good,2,Good,,m,m,1,FALSE,
ff,22,pretest,50,m,FALSE,238.78,Good,2,Good,,m,m,1,FALSE,
ff,22,main,1,b,FALSE,1001.33,Miss,-2,Miss!,timeout,,b,0,FALSE,
ff,22,main,2,v,FALSE,1003.45,Miss,-2,Miss!,timeout,,v,0,FALSE,
ff,22,main,3,n,FALSE,1004.68,Miss,-2,Miss!,timeout,,n,0,FALSE,
